,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
it_ain't_suspicious,1,0.01,0.17,1,0.02,['107-22887-0034']
it_ain't_strange,1,0.01,0.17,1,0.02,['107-22885-0037']
jeff_ain't_fool,1,0.01,0.17,1,0.02,['5949-65530-0022']
it_ain't_sleep,1,0.01,0.17,1,0.02,['4899-32639-0035']
it_ain't_road,1,0.01,0.17,1,0.02,['4848-29108-0020']
it_ain't_ridiculous,1,0.01,0.17,1,0.02,['3380-64298-0012']
it_ain't_regular,1,0.01,0.17,1,0.02,['1469-163403-0016']
it_ain't_question,1,0.01,0.17,1,0.02,['7220-77911-0037']
it_ain't_proved,1,0.01,0.17,1,0.02,['3536-8226-0010']
it_ain't_place,1,0.01,0.17,1,0.02,['7832-114468-0049']
it_ain't_pity,1,0.01,0.17,1,0.02,['5361-27491-0013']
it_ain't_part,1,0.01,0.17,1,0.02,['2544-27475-0005']
jackson_ain't_home,1,0.01,0.17,1,0.02,['8498-287359-0032']
jim_ain't_from,1,0.01,0.17,1,0.02,['2532-163402-0046']
it_ain't_murder,1,0.01,0.17,1,0.02,['797-127183-0018']
master_ain't_well,1,0.01,0.17,1,0.02,['6904-262305-0016']
name_ain't_it,1,0.01,0.17,1,0.02,['8404-282926-0016']
muscle_ain't_allowed,1,0.01,0.17,1,0.02,['5910-53048-0065']
murder_ain't_maurice,1,0.01,0.17,1,0.02,['4586-61776-0011']
much_ain't_constituentboundary,1,0.01,0.17,1,0.02,['6248-302581-0005']
mountains_ain't_howling,1,0.01,0.17,1,0.02,['3490-177641-0009']
mother_ain't_suffrager,1,0.01,0.17,1,0.02,['3259-158083-0033']
mother_ain't_got,1,0.01,0.17,1,0.02,['3744-177438-0026']
minister_ain't_going,1,0.01,0.17,1,0.02,['5837-39905-0058']
mernside_ain't_here,1,0.01,0.17,1,0.02,['7354-87667-0100']
master_ain't_master,1,0.01,0.17,1,0.02,['288-131218-0020']
joel_ain't_woman,1,0.01,0.17,1,0.02,['5321-53046-0044']
master_ain't_kind,1,0.01,0.17,1,0.02,['288-131218-0022']
man_ain't_constituentboundary,1,0.01,0.17,1,0.02,['107-22887-0031']
lobstermen_ain't_risk,1,0.01,0.17,1,0.02,['5910-53048-0004']
limberlost_ain't_compared,1,0.01,0.17,1,0.02,['8195-117382-0090']
letting_ain't_trouble,1,0.01,0.17,1,0.02,['2532-163402-0049']
angels_ain't_have,1,0.01,0.17,1,0.02,['5909-111961-0032']
labor_ain't_question,1,0.01,0.17,1,0.02,['2573-178450-0008']
kid_ain't_slouch,1,0.01,0.17,1,0.02,['7640-104647-0040']
john_ain't_selfish,1,0.01,0.17,1,0.02,['6913-80509-0070']
it_ain't_natural,1,0.01,0.17,1,0.02,['2285-163381-0034']
it_ain't_moral,1,0.01,0.17,1,0.02,['1469-163403-0006']
i_ain't_judge,1,0.01,0.17,1,0.02,['2405-148581-0022']
i_ain't_shield,1,0.01,0.17,1,0.02,['6701-71404-0019']
i_ain't_terrible,1,0.01,0.17,1,0.02,['1867-154075-0039']
i_ain't_tell,1,0.01,0.17,1,0.02,['2573-178450-0006']
i_ain't_taking,1,0.01,0.17,1,0.02,['7828-105179-0037']
i_ain't_surprised,1,0.01,0.17,1,0.02,['188-136483-0028']
i_ain't_suffer,1,0.01,0.17,1,0.02,['7026-86941-0017']
i_ain't_stealer,1,0.01,0.17,1,0.02,['6733-97084-0020']
i_ain't_sociate,1,0.01,0.17,1,0.02,['829-123192-0031']
i_ain't_sign,1,0.01,0.17,1,0.02,['6875-76999-0093']
i_ain't_show,1,0.01,0.17,1,0.02,['6446-78193-0008']
i_ain't_see,1,0.01,0.17,1,0.02,['5952-54019-0019']
i_ain't_up,1,0.01,0.17,1,0.02,['2769-176256-0036']
i_ain't_repeat,1,0.01,0.17,1,0.02,['4936-65528-0040']
i_ain't_referring,1,0.01,0.17,1,0.02,['8415-283469-0008']
i_ain't_put,1,0.01,0.17,1,0.02,['3783-176659-0009']
i_ain't_more,1,0.01,0.17,1,0.02,['2946-163375-0078']
i_ain't_married,1,0.01,0.17,1,0.02,['753-150477-0039']
i_ain't_man,1,0.01,0.17,1,0.02,['915-163372-0014']
i_ain't_make,1,0.01,0.17,1,0.02,['3045-163406-0027']
i_ain't_maintaining,1,0.01,0.17,1,0.02,['712-123615-0075']
i_ain't_living,1,0.01,0.17,1,0.02,['753-150477-0039']
i_ain't_unreasonable,1,0.01,0.17,1,0.02,['7556-103535-0010']
i_ain't_wait,1,0.01,0.17,1,0.02,['3691-178118-0031']
it_ain't_months,1,0.01,0.17,1,0.02,['4848-29108-0009']
it_ain't_craft,1,0.01,0.17,1,0.02,['5918-46890-0017']
it_ain't_master,1,0.01,0.17,1,0.02,['8498-287359-0031']
it_ain't_manners,1,0.01,0.17,1,0.02,['4936-65528-0005']
it_ain't_liver,1,0.01,0.17,1,0.02,['7131-92815-0020']
it_ain't_likely,1,0.01,0.17,1,0.02,['4748-25901-0037']
it_ain't_jackson,1,0.01,0.17,1,0.02,['1265-135635-0051']
it_ain't_it,1,0.01,0.17,1,0.02,['8531-282933-0056']
it_ain't_interfering,1,0.01,0.17,1,0.02,['82-122859-0012']
it_ain't_in,1,0.01,0.17,1,0.02,['915-163369-0043']
it_ain't_got,1,0.01,0.17,1,0.02,['392-131210-0033']
it_ain't_calling,1,0.01,0.17,1,0.02,['2285-163381-0031']
i_ain't_what,1,0.01,0.17,1,0.02,['1985-144468-0090']
it_ain't_breach,1,0.01,0.17,1,0.02,['4936-65528-0001']
it_ain't_blue,1,0.01,0.17,1,0.02,['8197-278214-0030']
it_ain't_beautiful,1,0.01,0.17,1,0.02,['712-123615-0017']
it_ain't_assessorship,1,0.01,0.17,1,0.02,['5189-56574-0025']
it_ain't_asking,1,0.01,0.17,1,0.02,['1445-139387-0006']
it_ain't_all,1,0.01,0.17,1,0.02,['1121-176698-0016']
irving_ain't_splendid,1,0.01,0.17,1,0.02,['177-122839-0007']
i_ain't_young,1,0.01,0.17,1,0.02,['7910-80534-0046']
i_ain't_wife,1,0.01,0.17,1,0.02,['3691-178118-0028']
you_ain't_try,1,0.01,0.17,1,0.02,['6284-63091-0063']
