,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
fun,2,0.145,0.18,2,0.87,"['DCA_se1_ag1_f_03_1', 'DCB_se3_ag4_m_01_1']"
fucking,2,0.145,0.18,1,0.43,['DCB_se1_ag3_m_03_1']
asking,2,0.145,0.18,1,0.43,['DCB_se1_ag2_m_02_2']
difference,2,0.145,0.18,2,0.87,"['DCB_se1_ag3_m_02_1', 'LES_se0_ag4_m_02_1']"
bad,2,0.145,0.18,2,0.87,"['DCA_se2_ag1_f_02_1', 'DCB_se2_ag4_m_01_1']"
from,2,0.145,0.18,2,0.87,"['ATL_se0_ag2_m_03_1', 'DCB_se1_ag4_f_01_2']"
come,2,0.145,0.18,2,0.87,"['DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_m_02_1']"
catch,2,0.145,0.18,2,0.87,"['ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_m_07_1']"
boo,2,0.145,0.18,1,0.43,['DCB_se1_ag1_f_03_1']
drop,2,0.145,0.18,1,0.43,['DCB_se1_ag1_m_03_1']
changed,2,0.145,0.18,2,0.87,"['DCB_se1_ag3_f_02_1', 'DCB_se1_ag3_m_02_1']"
around,2,0.145,0.18,2,0.87,"['DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_m_01_1']"
bigger,2,0.145,0.18,1,0.43,['ATL_se0_ag1_m_04_2']
felt,2,0.145,0.18,1,0.43,['PRV_se0_ag3_m_02_2']
steer,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
staying,1,0.072,0.09,1,0.43,['LES_se0_ag4_m_02_1']
stop,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_03_1']
stopped,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
hearing,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
store,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
stressing,1,0.072,0.09,1,0.43,['PRV_se0_ag1_f_01_1']
studied,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_03_1']
study,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_05_1']
supporter,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
sure,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_01_1']
survive,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
taco bell,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
black,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
bought,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_02_2']
boutique,1,0.072,0.09,1,0.43,['LES_se0_ag2_f_02_1']
standing,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
show,1,0.072,0.09,1,0.43,['DCB_se1_ag4_f_01_2']
child,1,0.072,0.09,1,0.43,['PRV_se0_ag1_f_02_2']
cheap,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_01_1']
secret,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_05_1']
security,1,0.072,0.09,1,0.43,['ROC_se0_ag1_m_02_1']
by,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_03_1']
seeping,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
serious,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
shit,1,0.072,0.09,1,0.43,['LES_se0_ag2_f_01_2']
shooting,1,0.072,0.09,1,0.43,['VLD_se0_ag4_m_02_1']
shrimp boat,1,0.072,0.09,1,0.43,['DCB_se2_ag3_f_02_1']
spread,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
sing,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_01_2']
buying,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
bring,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
slipping,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
small,1,0.072,0.09,1,0.43,['DCA_se1_ag4_m_02_1']
breaking,1,0.072,0.09,1,0.43,['LES_se0_ag4_m_02_1']
boy,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
sound,1,0.072,0.09,1,0.43,['DCA_se2_ag2_m_02_1']
big,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_01_1']
talked,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
ten,1,0.072,0.09,1,0.43,['DCA_se2_ag3_m_02_1']
teenager,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
achieved,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
any,1,0.072,0.09,1,0.43,['PRV_se0_ag2_f_03_1']
antiwhite,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
wash,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_01_1']
watch,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
ambulances,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
allow,1,0.072,0.09,1,0.43,['DCB_se3_ag4_m_01_1']
what,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
when,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_01_2']
afraid,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
woke,1,0.072,0.09,1,0.43,['DCB_se2_ag3_f_02_1']
better,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
accustomed,1,0.072,0.09,1,0.43,['DCB_se1_ag1_m_03_1']
working,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_02_1']
accept,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_03_1']
abuse,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_01_1']
worrying,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
worth,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
writing,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_02_1']
you,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
young,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_02_1']
up,1,0.072,0.09,1,0.43,['DCB_se2_ag3_f_02_1']
understood,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
understand,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_02_1']
turf,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
believe,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_02_1']
roll,1,0.072,0.09,1,0.43,['DCB_se1_ag1_m_01_1']
that,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
bedrooms,1,0.072,0.09,1,0.43,['LES_se0_ag4_m_02_1']
thing,1,0.072,0.09,1,0.43,['DCB_se1_ag2_f_02_1']
beating,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
be,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
thousand,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
time,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
times,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_02_2']
today,1,0.072,0.09,1,0.43,['DCB_se1_ag1_m_03_1']
touch,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
town,1,0.072,0.09,1,0.43,['PRV_se0_ag2_f_03_1']
tradition,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
traditions,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
trick,1,0.072,0.09,1,0.43,['DCA_se3_ag1_f_03_1']
at,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
trip,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_03_1']
try,1,0.072,0.09,1,0.43,['DCB_se3_ag3_m_02_1']
run,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_01_1']
respect,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
rock and roll,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_01_2']
far,1,0.072,0.09,1,0.43,['PRV_se0_ag1_f_01_2']
live,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
lived,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_02_2']
living,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_03_1']
five boroughs,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_01_1']
filled,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_01_1']
fight,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_02_1']
lose,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
love,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_05_1']
major,1,0.072,0.09,1,0.43,['DCA_se1_ag4_m_02_1']
fan,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
listen,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
explained,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_03_1']
martin,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
matter,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
everywhere,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
even,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_02_1']
elaborate,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_03_2']
eat,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_04_1']
earned,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
motion,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
listening,1,0.072,0.09,1,0.43,['ROC_se0_ag2_f_02_1']
food,1,0.072,0.09,1,0.43,['DCB_se1_ag4_m_02_1']
choice,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_01_1']
hard,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
hit,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
hoe,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
home,1,0.072,0.09,1,0.43,['VLD_se0_ag4_f_02_1']
hot,1,0.072,0.09,1,0.43,['VLD_se0_ag4_m_02_1']
hurt,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
hustle,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
have to,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_03_1']
interested,1,0.072,0.09,1,0.43,['PRV_se0_ag3_m_01_2']
hater,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
happening,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_02_1']
leaving,1,0.072,0.09,1,0.43,['LES_se0_ag3_m_02_1']
happen,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
grounded,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
knew,1,0.072,0.09,1,0.43,['DCB_se3_ag3_m_02_1']
girlfriend,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
knowed,1,0.072,0.09,1,0.43,['DCA_se3_ag1_f_03_1']
last,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
gaining,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
learned,1,0.072,0.09,1,0.43,['DCA_se1_ag1_m_03_1']
learnt,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
move,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
moving,1,0.072,0.09,1,0.43,['DCB_se2_ag4_f_05_1']
earn,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
reach,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_1']
play,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_04_1']
played,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
cousins,1,0.072,0.09,1,0.43,['VLD_se0_ag3_m_01_1']
point,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
psychologist,1,0.072,0.09,1,0.43,['DCA_se1_ag4_m_02_1']
count,1,0.072,0.09,1,0.43,['DCA_se1_ag1_f_04_1']
conversation,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
connected,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_01_1']
competition,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
reached,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
name,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
read,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
cocky,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_02_1']
realize,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
claim,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_01_1']
chump,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_03_1']
remember,1,0.072,0.09,1,0.43,['DCB_se1_ag2_f_02_1']
having,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_03_1']
restaurant,1,0.072,0.09,1,0.43,['DCB_se1_ag2_f_02_1']
ride or die,1,0.072,0.09,1,0.43,['VLD_se0_ag3_f_01_2']
plan,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
places,1,0.072,0.09,1,0.43,['VLD_se0_ag2_m_01_1']
place,1,0.072,0.09,1,0.43,['DCB_se2_ag3_m_01_1']
pick,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_01_1']
dumbest,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_04_2']
network,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_03_1']
drunk,1,0.072,0.09,1,0.43,['DCB_se1_ag4_f_01_2']
nigga,1,0.072,0.09,1,0.43,['ATL_se0_ag1_m_03_1']
driving,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
drive,1,0.072,0.09,1,0.43,['PRV_se0_ag3_f_03_1']
notice,1,0.072,0.09,1,0.43,['DCB_se1_ag2_m_01_1']
dinner,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
off,1,0.072,0.09,1,0.43,['PRV_se0_ag1_m_02_1']
deep,1,0.072,0.09,1,0.43,['PRV_se0_ag1_f_01_1']
dead,1,0.072,0.09,1,0.43,['DCA_se3_ag1_f_03_1']
day,1,0.072,0.09,1,0.43,['DCB_se1_ag1_f_03_1']
over,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
parenting,1,0.072,0.09,1,0.43,['ATL_se0_ag1_f_01_1']
cutting,1,0.072,0.09,1,0.43,['DCB_se2_ag4_m_01_1']
cussing,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
peace,1,0.072,0.09,1,0.43,['ATL_se0_ag2_m_01_1']
crazy,1,0.072,0.09,1,0.43,['VLD_se0_ag4_m_02_1']
personal,1,0.072,0.09,1,0.43,['DCB_se1_ag3_m_01_1']
able,1,0.072,0.09,1,0.43,['DCB_se1_ag3_f_03_1']
