File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27
DCB_se3_ag3_f_02_1,1704,DCB_se3_ag3_f_02,1719.5539,1720.9853,1.4314,1,1,and I done have fun doing that.,I,have,I_done_have,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,,,,and,I,done ,have,fun,doing,that.,,,,,,,,,,,,,,,,,,,,,,,
DCB_se3_ag3_m_02_2,189,DCB_se3_ag3_m_02,221.3496,222.6722,1.3226,1,1,"you crazy, you done lost your mind.",you,lost,you_done_lost,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,you,"crazy,",you,done ,lost,your,mind.,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_f_02_1,1671,PRV_se0_ag2_f_02,1784.0895,1786.9113,2.8218,1,1,I'm talking about older now. I done got older now.,I,older,I_done_older,PronounPersonal,Adjective,PronounPersonal_done_Adjective,,,,,,,,,,,,,,,,,I'm,talking,about,older,now.,I,done ,got,older,now.,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_f_03_1,299,PRV_se0_ag2_f_03,397.1189,399.2233,2.1044,1,1,And my daughter she love it done met,it,met,it_done_met,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,And,my,daughter,she,love,it,done ,met,,,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_m_01_1,1874,PRV_se0_ag2_m_01,1638.5988,1639.219,0.6202,1,1,Done worked there.,constituentbounday,worked,constituentbounday_done_worked,ConstituentBoundary,VerbPastParticiple,ConstituentBoundary_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,Done ,worked,there.,,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_m_01_1,1882,PRV_se0_ag2_m_01,1644.2211,1646.1469,1.9258,1,1,"Oh, it done changed so many time to what it is now.",it,changed,it_done_changed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,"Oh,",it,done ,changed,so,many,time,to,what,it,is,now.,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_m_01_1,1932,misc,1677.9514,1679.2506,1.2992,1,1,all of 'em done worked at Enterprise,all,worked,all_done_worked,PronounIndefinite,VerbPastParticiple,PronounIndefinite_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,all,of,'em,done ,worked,at,Enterprise,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_m_01_1,1936,misc,1681.4288,1683.6856,2.2568,1,1,Pretty much everybody done worked there that stays in Princeville.,everybody,worked,everybody_done_worked,PronounIndefinite,VerbPastParticiple,PronounIndefinite_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,Pretty,much,everybody,done ,worked,there,that,stays,in,Princeville.,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_m_01_1,2378,PRV_se0_ag2_m_01,2083.2899,2084.1199,0.83,1,1,Ever done seen,constituentbounday,seen,constituentbounday_done_seen,ConstituentBoundary,VerbPastParticiple,ConstituentBoundary_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,Ever,done ,seen,,,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_m_01_1,3032,PRV_se0_ag2_m_01,2655.1447,2656.2433,1.0986,1,1,I got- done got a spanking,I,got,I_done_got,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,I,got-,done ,got,a,spanking,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_m_01_1,3034,PRV_se0_ag2_m_01,2656.6882,2657.4471,0.7589,1,1,for something you done did.,you,did,you_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,for,something,you,done ,did.,,,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_m_02_1,552,PRV_se0_ag2_m_02,586.0871,591.8315,5.7444,1,1,some of the school- We did have one incident when I was in that- at high school where we done felt that black students was being,we,felt,we_done_felt,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,some,of,the,school-,We,did,have,one,incident,when,I,was,in,that-,at,high,school,where,we,done ,felt,that,black,students,was,being,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_m_02_1,2393,PRV_se0_ag2_m_02,2663.7425,2664.6271,0.8846,1,1,And you done had a-,you,had,you_done_had,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,And,you,done ,had,a-,,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag2_m_02_2,839,PRV_se0_ag2_m_02,833.6059,837.2699,3.664,1,1,location  away from home. ECU. We done got some now at ECU.,we,got,we_done_got,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,location,away,from,home.,ECU.,We,done ,got,some,now,at,ECU.,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag3_f_03_1,272,PRV_se0_ag2_f_03,300.8016,301.8714,1.0698,1,1,Everybody had done gone,everybody,gone,everybody_done_gone,PronounIndefinite,VerbPastParticiple,PronounIndefinite_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,Everybody,had,done ,gone,,,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag3_f_03_1,476,PRV_se0_ag2_f_03,548.9942,552.4733,3.4791,1,1,"told- and my husband went to the door. And he said, everybody done gone away from back here.",everybody,gone,everybody_done_gone,PronounIndefinite,VerbPastParticiple,PronounIndefinite_done_VerbPastParticiple,,,,,,,,,,,told-,and,my,husband,went,to,the,door.,And,he,"said,",everybody,done ,gone,away,from,back,here.,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag3_f_03_1,498,PRV_se0_ag2_f_03,575.7349,578.4613,2.7264,1,1,"And his family already had done left him, so he stayed back for the-",family,left,family_done_left,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,And,his,family,already,had,done ,left,"him,",so,he,stayed,back,for,the-,,,,,,,,,,,,,,,,,,,
PRV_se0_ag3_f_04_1,1670,PRV_se0_ag3_f_04,2214.7557,2219.9605,5.2048,1,1,Well at that time it was Carolina Enterprise but it done changed names.,it,changed,it_done_changed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,Well,at,that,time,it,was,Carolina,Enterprise,but,it,done ,changed,names.,,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag3_f_04_3,1046,PRV_se0_ag3_f_04,1483.1758,1484.7615,1.5857,1,1,"And she done told me,",she,told,she_done_told,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,And,she,done ,told,"me,",,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag3_m_02_1,569,PRV_se0_ag3_m_02,728.3044,731.9661,3.6617,1,1,And anybody have seen much as I've seen feels like it done changed too much.,it,changed,it_done_changed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,And,anybody,have,seen,much,as,I've,seen,feels,like,it,done ,changed,too,much.,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag3_m_02_1,669,PRV_se0_ag3_m_02,870.1744,872.8752,2.7008,1,1,I'm figuring on getting some more- I done talked to a guy about some more weight.,I,talked,I_done_talked,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,I'm,figuring,on,getting,some,more-,I,done ,talked,to,a,guy,about,some,more,weight.,,,,,,,,,,,,,,,,,,,
PRV_se0_ag3_m_02_2,618,PRV_se0_ag3_m_02,783.6107,785.31,1.6993,1,1,But then I think they done cremate her.,they,cremate,they_done_cremate,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,,,,,,But,then,I,think,they,done ,cremate,her.,,,,,,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag3_m_03_1,1619,PRV_se0_ag3_m_03,1785.2378,1788.0096,2.7718,1,1,president and all them crowd done took all this money away from 'em.,crowd,took,crowd_done_took,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,president,and,all,them,crowd,done ,took,all,this,money,away,from,'em.,,,,,,,,,,,,,,,,,,,,
PRV_se0_ag3_m_03_1,1626,PRV_se0_ag3_m_03,1794.3504,1795.7042,1.3538,1,1,They done took they building money from you?,they,took,they_done_took,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,They,done ,took,they,building,money,from,you?,,,,,,,,,,,,,,,,,,,,,
ROC_se0_ag1_m_01_1,555,ROC_se0_ag1_m_01,703.6481,708.1618,4.5137,2,2,"um, I done seen like people done graduated and seen people",people,graduated,people_done_graduated,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,,"um,",I,done,seen,like,people,done ,graduated,and,seen,people,,,,,,,,,,,,,,,,,,,,,,,
ROC_se0_ag1_m_01_1,555,ROC_se0_ag1_m_01,703.6481,708.1618,4.5137,2,2,"um, I done seen like people done graduated and seen people",I,seen,I_done_seen,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,"um,",I,done ,seen,like,people,done,graduated,and,seen,people,,,,,,,,,,,,,,,,,,,
ROC_se0_ag1_m_01_1,713,ROC_se0_ag1_m_01,893.9159,894.8539,0.938,1,1,I done been everywhere.,I,everywhere,I_done_everywhere,PronounPersonal,PronounIndefinite,PronounPersonal_done_PronounIndefinite,,,,,,,,,,,,,,,,,,,,,,I,done ,been,everywhere.,,,,,,,,,,,,,,,,,,,,,,,,,
ROC_se0_ag1_m_01_1,2835,ROC_se0_ag1_m_01,3541.6832,3543.4913,1.8081,1,1,man done got popped literally by,man,popped,man_done_popped,Noun,VerbPastParticiple,Noun_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,man,done ,got,popped,literally,by,,,,,,,,,,,,,,,,,,,,,,,
ROC_se0_ag1_m_02_1,756,ROC_se0_ag1_m_02,814.4919,817.5041,3.0122,1,1,"and we all done had like, to introduce ourself. I was the only black kid in there,",we,had,we_done_had,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,and,we,all,done ,had,"like,",to,introduce,ourself.,I,was,the,only,black,kid,in,"there,",,,,,,,,,,,,,,
ROC_se0_ag2_f_02_1,681,ROC_se0_ag2_f_02,909.7205,911.5852,1.8647,1,1,oh I guess she done slept with everybody ,she,slept,she_done_slept,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,oh,I,guess,she,done ,slept,with,everybody,,,,,,,,,,,,,,,,,,,,,,,,
ROC_se0_ag3_f_01_1,1096,ROC_se0_ag3_f_01,1195.1992,1200.1781,4.9789,1,1,"I don't think it's more so the violence. I just think, okay, I done went to school for all these years.",I,went,I_done_went,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,I,don't,think,it's,more,so,the,violence.,I,just,"think,","okay,",I,done ,went,to,school,for,all,these,years.,,,,,,,,,,,,,,,,,,,,
ROC_se0_ag3_f_02_1,777,ROC_se0_ag3_f_02,850.9576,853.4324,2.4748,1,1,"And I wore corduroys, you know, I done had",I,had,I_done_had,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,And,I,wore,"corduroys,",you,"know,",I,done ,had,,,,,,,,,,,,,,,,,,,,,,,,,,
