File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L52,L51,L50,L49,L48,L47,L46,L45,L44,L43,L42,L41,L40,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60
2769-176256-0031,31,5,5,but for you to say that he wasn't there and never had been blimey that cops the biscuit if he wasn't there all i can say is i ain't here and my orse ain't here and my cab ain't neither damn it the house ain't here and nothing ain't,I,here,I_ain't_here,PronounPersonal,Adverb,PronounPersonal_ain't_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,but,for,you,to,say,that,he,wasn't,there,and,never,had,been,blimey,that,cops,the,biscuit,if,he,wasn't,there,all,i,can,say,is,i,ain't ,here,and,my,orse,ain't,here,and,my,cab,ain't,neither,damn,it,the,house,ain't,here,and,nothing,ain't,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769-176256-0036,36,1,1,how am i to know what the thing's called i ain't up in foreign languages,I,up,I_ain't_up,PronounPersonal,Preposition,PronounPersonal_ain't_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,how,am,i,to,know,what,the,thing's,called,i,ain't ,up,in,foreign,languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2769-176263-0007,7,1,1,i thought you never was a comin that i did she recognised the inspector it's you mister phillips is it perceiving us she drew a little back who's them ere parties they ain't coppers,they,coppers,they_ain't_coppers,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,i,thought,you,never,was,a,comin,that,i,did,she,recognised,the,inspector,it's,you,mister,phillips,is,it,perceiving,us,she,drew,a,little,back,who's,them,ere,parties,they,ain't ,coppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283-130638-0046,46,1,1,in fact at first glance i thought it was a cod ah said the old gentleman following the direction of my gaze fine fellow that ain't he quite uncommon i murmured,that,constituentboundary,that_ain't_constituentboundary,PronounDemonstrative,ConstituentBoundary,PronounDemonstrative_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,fact,at,first,glance,i,thought,it,was,a,cod,ah,said,the,old,gentleman,following,the,direction,of,my,gaze,fine,fellow,that,ain't ,he,quite,uncommon,i,murmured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288-131218-0020,20,1,1,you make me ashamed of being a horse you dare to say my master ain't your master that's your gratitude for the way he feeds you and spares you pray where would your carcass be if it weren't for him,master,master,master_ain't_master,Noun,Noun,Noun_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,make,me,ashamed,of,being,a,horse,you,dare,to,say,my,master,ain't ,your,master,that's,your,gratitude,for,the,way,he,feeds,you,and,spares,you,pray,where,would,your,carcass,be,if,it,weren't,for,him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288-131218-0022,22,1,1,you're a disgrace to the stable look at the horse next you he's something like a horse all skin and bone and his master ain't over kind to him either he put a stinging lash on his whip last week but that old horse knows he's got the wife and children to keep,master,kind,master_ain't_kind,Noun,Adjective,Noun_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you're,a,disgrace,to,the,stable,look,at,the,horse,next,you,he's,something,like,a,horse,all,skin,and,bone,and,his,master,ain't ,over,kind,to,him,either,he,put,a,stinging,lash,on,his,whip,last,week,but,that,old,horse,knows,he's,got,the,wife,and,children,to,keep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288-131218-0026,26,1,1,you go along like a buttock of beef upon castors you do ain't you afraid i'll kick if you go on like that diamond,you,afraid,you_ain't_afraid,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,go,along,like,a,buttock,of,beef,upon,castors,you,do,ain't ,you,afraid,i'll,kick,if,you,go,on,like,that,diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288-131218-0031,31,1,1,ankle indeed why should you ape your betters horses ain't got any ankles,horses,got,horses_ain't_got,Noun,VerbPastParticiple,Noun_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ankle,indeed,why,should,you,ape,your,betters,horses,ain't ,got,any,ankles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288-131218-0037,37,1,1,because i wanted to grow fat you grease tub oh my teeth and tail i thought you were a humbug why did you want to get fat there's no truth to be got out of you but by cross questioning you ain't fit to be a horse because,you,fit,you_ain't_fit,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,because,i,wanted,to,grow,fat,you,grease,tub,oh,my,teeth,and,tail,i,thought,you,were,a,humbug,why,did,you,want,to,get,fat,there's,no,truth,to,be,got,out,of,you,but,by,cross,questioning,you,ain't ,fit,to,be,a,horse,because,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288-131220-0004,4,1,1,during which they had been talking of her new prospects that nanny expressed to diamond her opinion of the country there ain't nothing in it but the sun and moon diamond there's trees and flowers said diamond,there,nothing,there_ain't_nothing,PronounNonReferential,PronounIndefinite,PronounNonReferential_ain't_PronounIndefinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,during,which,they,had,been,talking,of,her,new,prospects,that,nanny,expressed,to,diamond,her,opinion,of,the,country,there,ain't ,nothing,in,it,but,the,sun,and,moon,diamond,there's,trees,and,flowers,said,diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288-131220-0011,11,1,1,people's kind to lame boys you know sir but after dark there ain't so much doing diamond succeeded in bringing jim to mister raymond and the consequence was that he resolved to give the boy a chance he provided new clothes for both him and nanny,there,doing,there_ain't_doing,PronounNonReferential,VerbPresentParticiple,PronounNonReferential_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's,kind,to,lame,boys,you,know,sir,but,after,dark,there,ain't ,so,much,doing,diamond,succeeded,in,bringing,jim,to,mister,raymond,and,the,consequence,was,that,he,resolved,to,give,the,boy,a,chance,he,provided,new,clothes,for,both,him,and,nanny,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-130626-0051,51,1,1,took up an independent position on the curb they ain't a going to starve are they said the gentleman from the boot shop ah you'd want to take a thing or two with you retorted the blue posts,they,starve,they_ain't_starve,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,took,up,an,independent,position,on,the,curb,they,ain't ,a,going,to,starve,are,they,said,the,gentleman,from,the,boot,shop,ah,you'd,want,to,take,a,thing,or,two,with,you,retorted,the,blue,posts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2946-163375-0012,12,1,1,now i reckon the widow or the parson or somebody prayed that this bread would find me and here it has gone and done it so there ain't no doubt but there is something in that thingthat,there,doubt,there_ain't_doubt,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,now,i,reckon,the,widow,or,the,parson,or,somebody,prayed,that,this,bread,would,find,me,and,here,it,has,gone,and,done,it,so,there,ain't ,no,doubt,but,there,is,something,in,that,thingthat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2946-163375-0037,37,1,1,there warn't much sand in my craw but i says this ain't no time to be fooling around,this,time,this_ain't_time,PronounDemonstrative,Noun,PronounDemonstrative_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there,warn't,much,sand,in,my,craw,but,i,says,this,ain't ,no,time,to,be,fooling,around,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2946-163375-0058,58,2,2,what all that time yesindeedy and ain't you had nothing but that kind of rubbage to eat no sahnuffn else well you must be most starved ain't you,you,constituentboundary,you_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,what,all,that,time,yesindeedy,and,ain't,you,had,nothing,but,that,kind,of,rubbage,to,eat,no,sahnuffn,else,well,you,must,be,most,starved,ain't ,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2946-163375-0058,58,2,2,what all that time yesindeedy and ain't you had nothing but that kind of rubbage to eat no sahnuffn else well you must be most starved ain't you,you,had,you_ain't_had,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,what,all,that,time,yesindeedy,and,ain't ,you,had,nothing,but,that,kind,of,rubbage,to,eat,no,sahnuffn,else,well,you,must,be,most,starved,ain't,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2946-163375-0078,78,1,1,but i ain't no mo now,I,mo,I_ain't_mo,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,but,i,ain't ,no,mo,now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2946-163375-0090,90,1,1,and so you ain't had no meat nor bread to eat all this time why didn't you get mud turkles,you,had,you_ain't_had,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,so,you,ain't ,had,no,meat,nor,bread,to,eat,all,this,time,why,didn't,you,get,mud,turkles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005-163391-0009,9,2,2,but then i says again no i reckon it ain't him or else he wouldn't be paddling up the river you ain't him are you,it,him,it_ain't_him,PronounPersonal,PronounPersonal,PronounPersonal_ain't_PronounPersonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,but,then,i,says,again,no,i,reckon,it,ain't ,him,or,else,he,wouldn't,be,paddling,up,the,river,you,ain't,him,are,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005-163391-0009,9,2,2,but then i says again no i reckon it ain't him or else he wouldn't be paddling up the river you ain't him are you,you,him,you_ain't_him,PronounPersonal,PronounPersonal,PronounPersonal_ain't_PronounPersonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,but,then,i,says,again,no,i,reckon,it,ain't,him,or,else,he,wouldn't,be,paddling,up,the,river,you,ain't ,him,are,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005-163391-0017,17,1,1,old peter had friends and they ain't going to let them come to no harm,they,let,they_ain't_let,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,old,peter,had,friends,and,they,ain't ,going,to,let,them,come,to,no,harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005-163399-0025,25,1,1,why silas look yonder up the road ain't that somebody coming,that,somebody,that_ain't_somebody,PronounDemonstrative,PronounIndefinite,PronounDemonstrative_ain't_PronounIndefinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,why,silas,look,yonder,up,the,road,ain't ,that,somebody,coming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3033-130750-0063,63,1,1,not of a spindle legged cuss like him shouted charlie because i ain't change of front,I,change,I_ain't_change,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not,of,a,spindle,legged,cuss,like,him,shouted,charlie,because,i,ain't ,change,of,front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045-163406-0027,27,1,1,but i ain't going to make no complaint any way that suits you suits me,I,make,I_ain't_make,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,but,i,ain't ,going,to,make,no,complaint,any,way,that,suits,you,suits,me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045-163406-0031,31,3,3,that ain't got nothing to do with it the thing for us to do is just to do our duty and not worry about whether anybody sees us do it or not hain't you got no principle at all all right i ain't saying nothing i'm the servant girl,that,got,that_ain't_got,PronounDemonstrative,VerbPastParticiple,PronounDemonstrative_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,that,ain't ,got,nothing,to,do,with,it,the,thing,for,us,to,do,is,just,to,do,our,duty,and,not,worry,about,whether,anybody,sees,us,do,it,or,not,hain't,you,got,no,principle,at,all,all,right,i,ain't,saying,nothing,i'm,the,servant,girl,,,,,,,,,,,,,
3045-163406-0031,31,3,3,that ain't got nothing to do with it the thing for us to do is just to do our duty and not worry about whether anybody sees us do it or not hain't you got no principle at all all right i ain't saying nothing i'm the servant girl,I,saying,I_ain't_saying,PronounPersonal,VerbPresentParticiple,PronounPersonal_ain't_VerbPresentParticiple,,,,,,,,,,,that,ain't,got,nothing,to,do,with,it,the,thing,for,us,to,do,is,just,to,do,our,duty,and,not,worry,about,whether,anybody,sees,us,do,it,or,not,hain't,you,got,no,principle,at,all,all,right,i,ain't ,saying,nothing,i'm,the,servant,girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307-127535-0024,24,1,1,speak up to the others ah the others returned john they're a nice lot ain't they you say this cruise is bungled ah by gum if you could understand how bad it's bungled you would see,they,constituentboundary,they_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,speak,up,to,the,others,ah,the,others,returned,john,they're,a,nice,lot,ain't ,they,you,say,this,cruise,is,bungled,ah,by,gum,if,you,could,understand,how,bad,it's,bungled,you,would,see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072-155948-0017,17,1,1,it was while hunting in vain for a grouse that i came on the bear and killed it as above described when i reached the settlement and went into the store the storekeeper identified me by remarking you're the tenderfoot that old hank was trundling ain't you,you,constituentboundary,you_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,it,was,while,hunting,in,vain,for,a,grouse,that,i,came,on,the,bear,and,killed,it,as,above,described,when,i,reached,the,settlement,and,went,into,the,store,the,storekeeper,identified,me,by,remarking,you're,the,tenderfoot,that,old,hank,was,trundling,ain't ,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3083-7944-0057,57,2,2,there ain't nobody there to night and as near as i can make out there's three ewes and their lambs missing there ain't a bit of use in us trying to depend on pete i'll ride over on bear creek to morrow and see if i can get that fellow buck told us about,there,bit,there_ain't_bit,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there,ain't,nobody,there,to,night,and,as,near,as,i,can,make,out,there's,three,ewes,and,their,lambs,missing,there,ain't ,a,bit,of,use,in,us,trying,to,depend,on,pete,i'll,ride,over,on,bear,creek,to,morrow,and,see,if,i,can,get,that,fellow,buck,told,us,about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3083-7944-0057,57,2,2,there ain't nobody there to night and as near as i can make out there's three ewes and their lambs missing there ain't a bit of use in us trying to depend on pete i'll ride over on bear creek to morrow and see if i can get that fellow buck told us about,there,nobody,there_ain't_nobody,PronounNonReferential,PronounIndefinite,PronounNonReferential_ain't_PronounIndefinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there,ain't ,nobody,there,to,night,and,as,near,as,i,can,make,out,there's,three,ewes,and,their,lambs,missing,there,ain't,a,bit,of,use,in,us,trying,to,depend,on,pete,i'll,ride,over,on,bear,creek,to,morrow,and,see,if,i,can,get,that,fellow,buck,told,us,about,,,,,,,,
3083-7944-0060,60,1,1,difficult no there ain't nothing to do but tendin to the sheep the man has to stay at the ranch of nights though mister howitt was wondering what staying at the ranch nights could have to do with the difficulty,there,nothing,there_ain't_nothing,PronounNonReferential,PronounIndefinite,PronounNonReferential_ain't_PronounIndefinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,difficult,no,there,ain't ,nothing,to,do,but,tendin,to,the,sheep,the,man,has,to,stay,at,the,ranch,of,nights,though,mister,howitt,was,wondering,what,staying,at,the,ranch,nights,could,have,to,do,with,the,difficulty,,,,,,,,,,,,,,,,,,,,,,,,
3083-7944-0070,70,1,1,it's no use honey said missus matthews breaking the silence it just ain't no use,it,use,it_ain't_use,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it's,no,use,honey,said,missus,matthews,breaking,the,silence,it,just,ain't ,no,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3259-158083-0033,33,1,1,as they ran me past she was lying there with her arms out and we heard one of the men yell the suffrager my mother ain't no suffrager i'll put you through at the end of the corridor,mother,suffrager,mother_ain't_suffrager,Noun,Noun,Noun_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,as,they,ran,me,past,she,was,lying,there,with,her,arms,out,and,we,heard,one,of,the,men,yell,the,suffrager,my,mother,ain't ,no,suffrager,i'll,put,you,through,at,the,end,of,the,corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370-163384-0007,7,1,1,they held the candle and took a good look at me and all said why he ain't a shepherdsonno,he,Shepherdson,he_ain't_Shepherdson,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,held,the,candle,and,took,a,good,look,at,me,and,all,said,why,he,ain't ,a,shepherdsonno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370-163384-0012,12,1,1,and he was dragging a gun along with the other one he says ain't they no shepherdsons around they said no twas a false alarm well he says,they,Shepherdsons,they_ain't_Shepherdsons,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,he,was,dragging,a,gun,along,with,the,other,one,he,says,ain't ,they,no,shepherdsons,around,they,said,no,twas,a,FALSE,alarm,well,he,says,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370-163384-0019,19,1,1,and buttermilkthat is what they had for me down there and there ain't nothing better that ever i've come across yet buck and his ma and all of them smoked cob pipes except the nigger woman which was gone and the two young women,there,nothing,there_ain't_nothing,PronounNonReferential,PronounIndefinite,PronounNonReferential_ain't_PronounIndefinite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,buttermilkthat,is,what,they,had,for,me,down,there,and,there,ain't ,nothing,better,that,ever,i've,come,across,yet,buck,and,his,ma,and,all,of,them,smoked,cob,pipes,except,the,nigger,woman,which,was,gone,and,the,two,young,women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3370-163384-0049,49,1,1,in the realms of the good and great if emmeline grangerford could make poetry like that before she was fourteen there ain't no telling what she could a done by and by buck said she could rattle off poetry like nothing,there,telling,there_ain't_telling,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,the,realms,of,the,good,and,great,if,emmeline,grangerford,could,make,poetry,like,that,before,she,was,fourteen,there,ain't ,no,telling,what,she,could,a,done,by,and,by,buck,said,she,could,rattle,off,poetry,like,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380-64298-0012,12,1,1,when he came to himself mary was binding up his arm what a fool i am he said trying to get up but yielding at once to mary's prevention ain't it ridic'lous now miss that a man of my size,it,ridiculous,it_ain't_ridiculous,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,when,he,came,to,himself,mary,was,binding,up,his,arm,what,a,fool,i,am,he,said,trying,to,get,up,but,yielding,at,once,to,mary's,prevention,ain't ,it,ridic'lous,now,miss,that,a,man,of,my,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380-64298-0014,14,1,1,you have lost a good deal of blood her voice faltered she had been greatly alarmed and the more that she had not light enough to get the edges of the wound properly together you've stopped it ain't you miss i think so,you,constituentboundary,you_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,you,have,lost,a,good,deal,of,blood,her,voice,faltered,she,had,been,greatly,alarmed,and,the,more,that,she,had,not,light,enough,to,get,the,edges,of,the,wound,properly,together,you've,stopped,it,ain't ,you,miss,i,think,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3490-177641-0009,9,1,1,he sat eyes unfocused feeling the movement of animal life in the jungle around them on the way he said biggest thing i ver heard not a beast tween here and the mountains ain't howlin is lungs out runnin towards the city jason was aware of part of it,mountains,howlin,mountains_ain't_howlin,Noun,VerbPresentParticiple,Noun_ain't_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,he,sat,eyes,unfocused,feeling,the,movement,of,animal,life,in,the,jungle,around,them,on,the,way,he,said,biggest,thing,i,ver,heard,not,a,beast,tween,here,and,the,mountains,ain't ,howlin,is,lungs,out,runnin,towards,the,city,jason,was,aware,of,part,of,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3493-17615-0015,15,1,1,but the man growled in a low tone shut up ain't you got no manners shirley prolonged that meal as much as music could do it for she had no relish for a more intimate tete a tete with either of her companions,you,got,you_ain't_got,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,but,the,man,growled,in,a,low,tone,shut,up,ain't ,you,got,no,manners,shirley,prolonged,that,meal,as,much,as,music,could,do,it,for,she,had,no,relish,for,a,more,intimate,tete,a,tete,with,either,of,her,companions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3526-176653-0021,21,2,2,the girl shrank to the bushes but she cried sharply back don't you hurt him now dad he ain't even got a pistol he ain't no shet up,he,constituentboundary,he_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the,girl,shrank,to,the,bushes,but,she,cried,sharply,back,don't,you,hurt,him,now,dad,he,ain't,even,got,a,pistol,he,ain't ,no,shet,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3526-176653-0021,21,2,2,the girl shrank to the bushes but she cried sharply back don't you hurt him now dad he ain't even got a pistol he ain't no shet up,he,got,he_ain't_got,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the,girl,shrank,to,the,bushes,but,she,cried,sharply,back,don't,you,hurt,him,now,dad,he,ain't ,even,got,a,pistol,he,ain't,no,shet,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536-8226-0007,7,1,1,of course it ain't said missus bozzle,it,constituentboundary,it_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,of,course,it,ain't ,said,missus,bozzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536-8226-0010,10,1,1,when a married woman has followers and the husband don't go the wrong side of the post too or it ain't proved again him that he do they'll never let her have nothing to do with the children,it,proved,it_ain't_proved,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,when,a,married,woman,has,followers,and,the,husband,don't,go,the,wrong,side,of,the,post,too,or,it,ain't ,proved,again,him,that,he,do,they'll,never,let,her,have,nothing,to,do,with,the,children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536-8226-0011,11,1,1,i'll tell you what it is b exclaimed missus bozzle it's my belief as he ain't quite right up here and missus bozzle touched her forehead,he,right,he_ain't_right,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i'll,tell,you,what,it,is,b,exclaimed,missus,bozzle,it's,my,belief,as,he,ain't ,quite,right,up,here,and,missus,bozzle,touched,her,forehead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3546-175390-0018,18,1,1,sleep dang likely now ain't it night sounds were becoming day sounds the far away hooting of freight engines seemed brisker than an hour ago in the dark,it,constituentboundary,it_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sleep,dang,likely,now,ain't ,it,night,sounds,were,becoming,day,sounds,the,far,away,hooting,of,freight,engines,seemed,brisker,than,an,hour,ago,in,the,dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3691-178109-0025,25,1,1,pinning your ears back and jiu jitsing the fried chicken and then doing a high dive into a little dish that ain't that isn't either a wash bowl or real good lemonade,that,constituentboundary,that_ain't_constituentboundary,PronounDemonstrative,ConstituentBoundary,PronounDemonstrative_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinning,your,ears,back,and,jiu,jitsing,the,fried,chicken,and,then,doing,a,high,dive,into,a,little,dish,that,ain't ,that,isn't,either,a,wash,bowl,or,real,good,lemonade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
