File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L45,L44,L43,L42,L41,L40,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
fe0306522,137,B,415.29,420.89,5.6,2,1,at the end of the day you don't know how b- how bad or how lost you be how lost you be behaving ,you,behaving,you_be_behaving,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,at,the,end,of,the,day,you,don't,know,how,b-,how,bad,or,how,lost,you,be,how,lost,you,be ,behaving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306643,24,A,52.87,58.71,5.84,1,1,is sort of confusing because the the school be forbidding to read certain books you know ,school,forbidding,school_be_forbidding,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,is,sort,of,confusing,because,the,the,school,be ,forbidding,to,read,certain,books,you,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306733,52,A,125.04,135.5,10.46,1,1,ok- and you park your bike on the side of the street you come back in a hour and there are pieces missing off your bike  it seems like and it be chained up too they have them in places you chain 'em to ,it,chained,it_be_chained,PronounNonReferential,Adjective,PronounNonReferential_be_Adjective,,,,,,,,,,,,,,,ok-,and,you,park,your,bike,on,the,side,of,the,street,you,come,back,in,a,hour,and,there,are,pieces,missing,off,your,bike,it,seems,like,and,it,be ,chained,up,too,they,have,them,in,places,you,chain,'em,to,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0306857,109,B,413.77,424.25,10.48,1,1,yeah he be flying anyway so that's one thing in a person like that don't need no gun either  you know just saying so oh yeah so they said it happens more them people i don't know somebody turned him in ,he,flying,he_be_flying,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,he,be ,flying,anyway,so,that's,one,thing,in,a,person,like,that,don't,need,no,gun,either,you,know,just,saying,so,oh,yeah,so,they,said,it,happens,more,them,people,i,don't,know,somebody,turned,him,in,,
fe0307151,85,A,204.36,207.44,3.08,1,1,'cause um i i usually be on my computer too ,i,on,i_be_on,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'cause,um,i,i,usually,be ,on,my,computer,too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307153,56,B,184,190.52,6.52,2,1,when i see the uh the sun is shining i be at work i say oh my god i don't want to be here i want to go home ,i,here,i_be_here,PronounPersonal,Adverb,PronounPersonal_be_Adverb,,,,,,,,,,,,,,,,,,,,,,,,when,i,see,the,uh,the,sun,is,shining,i,be,at,work,i,say,oh,my,god,i,don't,want,to,be ,here,i,want,to,go,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307156,206,B,573.24,578.44,5.2,2,1,like when i'm heavier my blood pressure be usually be up you know what i'm saying stuff like that ,blood pressure,up,blood pressure_be_up,Noun,Adverb,Noun_be_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,like,when,i'm,heavier,my,blood,pressure,be,usually,be ,up,you,know,what,i'm,saying,stuff,like,that,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307219,96,A,381.12,386.08,4.96,1,1, and talk he said because it don't make sense how much we be on the phone  ,we,on,we_be_on,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,talk,he,said,because,it,don't,make,sense,how,much,we,be ,on,the,phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307255,101,B,262.99,272.83,9.84,1,1,but i don't like them i don't like them like i'll go to 'em but i don't really like them little cheap restaurants they be having your your your silverware half ,they,having,they_be_having,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,but,i,don't,like,them,i,don't,like,them,like,i'll,go,to,'em,but,i,don't,really,like,them,little,cheap,restaurants,they,be ,having,your,your,your,silverware,half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307255,164,B,479.94,488.39,8.45,1,1,so y'all be going out to restaurants and stuff or you just you know you don't take 'em when you go to a good restaurant go like to chucky cheese and stuff like that ,y'all,going,y'all_be_going,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,so,y'all,be ,going,out,to,restaurants,and,stuff,or,you,just,you,know,you,don't,take,'em,when,you,go,to,a,good,restaurant,go,like,to,chucky,cheese,and,stuff,like,that,,,,,,,,,
fe0307601,42,B,92.55,94.17,1.62,1,1, they be all right but  ,they,all right,they_be_all right,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,be ,all,right,but,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307601,110,B,271.49,277.14,5.65,2,1,they are like when you be like like basketball games depending on where you sit at they be like ,they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,are,like,when,you,be,like,like,basketball,games,depending,on,where,you,sit,at,they,be ,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307601,206,B,524.76,529,4.24,3,3,'cause when they be saying like down there they be showing it on t. v. how it be like ,it,like,it_be_like,PronounNonReferential,QuotativeLike,PronounNonReferential_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'cause,when,they,be,saying,like,down,there,they,be,showing,it,on,t.,v.,how,it,be ,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307601,206,B,524.76,529,4.24,3,3,'cause when they be saying like down there they be showing it on t. v. how it be like ,they,saying,they_be_saying,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'cause,when,they,be ,saying,like,down,there,they,be,showing,it,on,t.,v.,how,it,be,like,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307601,206,B,524.76,529,4.24,3,3,'cause when they be saying like down there they be showing it on t. v. how it be like ,they,showing,they_be_showing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'cause,when,they,be,saying,like,down,there,they,be ,showing,it,on,t.,v.,how,it,be,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307601,210,B,534.12,537.78,3.66,1,1,lot of houses be all knocked down and ,houses,knocked down,houses_be_knocked down,Noun,Adjective,Noun_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lot,of,houses,be ,all,knocked,down,and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307794,99,B,266.52,269.5,2.98,1,1,mhm yep and they be real funny it's ,they,funny,they_be_funny,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mhm,yep,and,they,be ,real,funny,it's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307794,115,B,307.11,312.36,5.25,1,1,but but on comic view when they had the the most of the white guys be real funny when they ,most,funny,most_be_funny,Noun,Adjective,Noun_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,but,but,on,comic,view,when,they,had,the,the,most,of,the,white,guys,be ,real,funny,when,they,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307810,170,A,500.37,504.72,4.35,3,3,they be like come on come you know and he just be looking at her like and she be come on ,she,come,she_be_come,PronounPersonal,VerbPastParticiple,PronounPersonal_be_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,be,like,come,on,come,you,know,and,he,just,be,looking,at,her,like,and,she,be ,come,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307810,170,A,500.37,504.72,4.35,3,3,they be like come on come you know and he just be looking at her like and she be come on ,they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,be ,like,come,on,come,you,know,and,he,just,be,looking,at,her,like,and,she,be,come,on,,,,,,,,,,,,,,,,,,,,,
fe0307810,170,A,500.37,504.72,4.35,3,3,they be like come on come you know and he just be looking at her like and she be come on ,he,looking,he_be_looking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,be,like,come,on,come,you,know,and,he,just,be ,looking,at,her,like,and,she,be,come,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0307954,142,A,406.76,416.84,10.08,1,1, right at the same school the only way they leave is if something happens and then if they leave they be like okay  what is going on  but most teachers  if anything they might go up to another grade ,they,like,they_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,right,at,the,same,school,the,only,way,they,leave,is,if,something,happens,and,then,if,they,leave,they,be ,like,okay,what,is,going,on,but,most,teachers,if,anything,they,might,go,up,to,another,grade,,,,,,,,,,,,,,,,,,,,,,
fe0307956,136,B,530,535.07,5.07,1,1,but um today three oclock people be running out before the the bell goes ding for three ,people,running,people_be_running,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,but,um,today,three,oclock,people,be ,running,out,before,the,the,bell,goes,ding,for,three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308026,115,A,259.41,263.45,4.04,1,1, so that's why you know some big kids be calling up and staying up all night playing these games  ,kids,calling,kids_be_calling,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,so,that's,why,you,know,some,big,kids,be ,calling,up,and,staying,up,all,night,playing,these,games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308050,173,A,546.66,553.03,6.37,1,1,'cause the way they be uh pressing those buttons going back and forth and kicking and jumping up and all that stuff fighting i can't get into that ,they,pressing,they_be_pressing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'cause,the,way,they,be ,uh,pressing,those,buttons,going,back,and,forth,and,kicking,and,jumping,up,and,all,that,stuff,fighting,i,can't,get,into,that,,,,,,,,,,,,,,,,,
fe0308322,139,B,344.33,352.37,8.04,1,1,and it makes you feel better and then once you eat some fruit and stuff you be feeling all right i cut down a lot of drinking ,you,feeling,you_be_feeling,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,it,makes,you,feel,better,and,then,once,you,eat,some,fruit,and,stuff,you,be ,feeling,all,right,i,cut,down,a,lot,of,drinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308472,134,B,405.83,409.21,3.38,1,1, i be watching pool though you even seen like the pool games on t.v. ,i,watching,i_be_watching,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,be ,watching,pool,though,you,even,seen,like,the,pool,games,on,t.v.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308472,136,B,411.51,413.12,1.61,1,1,i be watching them huh ,i,watching,i_be_watching,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,be ,watching,them,huh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308472,149,B,438.18,444.41,6.23,1,1,they be fun i mean it's fun because i thought that i was good in pool until i seen them i went okay ,they,fun,they_be_fun,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,be ,fun,i,mean,it's,fun,because,i,thought,that,i,was,good,in,pool,until,i,seen,them,i,went,okay,,,,,,,,,,,,,,,,,,,
fe0308472,216,B,593.25,599.62,6.37,1,1,i mean yeah i watch it but i mean you know i mean jamaica i mean they be letting me down so  ,they,letting,they_be_letting,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,mean,yeah,i,watch,it,but,i,mean,you,know,i,mean,jamaica,i,mean,they,be ,letting,me,down,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308483,97,A,215.45,225.23,9.78,1,1, i go past there a lot  i ain't 'cause they 'cause 'cause they don't they don't know how to act sometimes they they be fighting and stuff  ,they,fighting,they_be_fighting,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,i,go,past,there,a,lot,i,ain't,'cause,they,'cause,'cause,they,don't,they,don't,know,how,to,act,sometimes,they,they,be ,fighting,and,stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308483,221,A,541.83,544.42,2.59,1,1, no me neither 'cause they be knocking out  ,they,knocking,they_be_knocking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,me,neither,'cause,they,be ,knocking,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308483,222,A,545.56,549.69,4.13,1,1, there they be coming all out of there small guys  ,they,coming,they_be_coming,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there,they,be ,coming,all,out,of,there,small,guys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0308864,22,B,101.76,109.66,7.9,1,1,and screen these people because they be working and getting welfare soon as they know they're getting ready to get cut off they get pregnant again ,they,working,they_be_working,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,screen,these,people,because,they,be ,working,and,getting,welfare,soon,as,they,know,they're,getting,ready,to,get,cut,off,they,get,pregnant,again,,,,,,,,,,,,,,,,,,,,,
fe0308935,52,B,129.42,136.51,7.09,1,1,what kind of thing is this that when i be talking my topic yesterday was on the government and the day before it was on family ,i,talking,i_be_talking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,what,kind,of,thing,is,this,that,when,i,be ,talking,my,topic,yesterday,was,on,the,government,and,the,day,before,it,was,on,family,,,,,,,,,,,,,,,,,,,,,,,,
fe0308935,229,B,571.73,584.84,13.11,2,2,so they be on welfare driving brand new cars and they husbands be working and they say they ain't seeing they husbands and stuff like that you know they lie a lot and they use people's social security numbers and stuff ,they,on,they_be_on,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,so,they,be ,on,welfare,driving,brand,new,cars,and,they,husbands,be,working,and,they,say,they,ain't,seeing,they,husbands,and,stuff,like,that,you,know,they,lie,a,lot,and,they,use,people's,social,security,numbers,and,stuff,,
fe0308935,229,B,571.73,584.84,13.11,2,2,so they be on welfare driving brand new cars and they husbands be working and they say they ain't seeing they husbands and stuff like that you know they lie a lot and they use people's social security numbers and stuff ,husbands,working,husbands_be_working,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,so,they,be,on,welfare,driving,brand,new,cars,and,they,husbands,be ,working,and,they,say,they,ain't,seeing,they,husbands,and,stuff,like,that,you,know,they,lie,a,lot,and,they,use,people's,social,security,numbers,and,stuff,,,,,,,,,,,,
fe0309117,123,A,426.54,429.01,2.47,1,1,i really don't be bothered with it you know ,i,bothered,i_be_bothered,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,really,don't,be ,bothered,with,it,you,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309152,50,B,174.42,181.05,6.63,1,1,yeah yeah i don't have health insurance so ah i don't rarely be going to the doctor's offices ,i,going,i_be_going,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,yeah,i,don't,have,health,insurance,so,ah,i,don't,rarely,be ,going,to,the,doctor's,offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309183,72,B,218.14,227.24,9.1,3,1,it's crazy 'cause like i'll come across other studies and studies will be like for serious people and it'll be like for three four grand but they be trying to have you take like medications and stuff ,they,trying,they_be_trying,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,it's,crazy,'cause,like,i'll,come,across,other,studies,and,studies,will,be,like,for,serious,people,and,it'll,be,like,for,three,four,grand,but,they,be ,trying,to,have,you,take,like,medications,and,stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309205,35,A,78.15,87.23,9.08,1,1, mhm majority has a majority of news mhm so that's what i be watching  ,i,watching,i_be_watching,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mhm,majority,has,a,majority,of,news,mhm,so,that's,what,i,be ,watching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309335,170,A,506.38,510.79,4.41,1,1, mm that's why i'm out of the words and stuff i be saying everything yesterday  ,i,saying,i_be_saying,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mm,that's,why,i'm,out,of,the,words,and,stuff,i,be ,saying,everything,yesterday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309336,100,A,256.74,262.09,5.35,1,1,which is hell easy you just make flyers put 'em up in the city be like do you want ten dollars free ,city,like,city_be_like,Noun,QuotativeLike,Noun_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,which,is,hell,easy,you,just,make,flyers,put,'em,up,in,the,city,be ,like,do,you,want,ten,dollars,free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309522,76,B,187.31,192.09,4.78,1,1,oh oh so you be in the nightclubs doing it breaking it down huh ,you,in,you_be_in,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oh,oh,so,you,be ,in,the,nightclubs,doing,it,breaking,it,down,huh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309531,107,B,243.41,248.25,4.84,1,1, and the weekend i be resting trying to at least  ,i,resting,i_be_resting,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,the,weekend,i,be ,resting,trying,to,at,least,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309549,89,B,230.61,240.05,9.44,1,1,yeah i got some friends now right they just like they be playing once a week like on fridays they trying to get me out there i say no i ain't played no ball for so long ,they,playing,they_be_playing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,i,got,some,friends,now,right,they,just,like,they,be ,playing,once,a,week,like,on,fridays,they,trying,to,get,me,out,there,i,say,no,i,ain't,played,no,ball,for,so,long,,,,,,,,,,,,,,,
fe0309549,97,B,253.71,262.2,8.49,1,1,so i don't really be playing that much but i'm thinking about it you know one friday maybe not this friday next friday i'm thinking about um ,i,playing,i_be_playing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,so,i,don't,really,be ,playing,that,much,but,i'm,thinking,about,it,you,know,one,friday,maybe,not,this,friday,next,friday,i'm,thinking,about,um,,,,,,,,,,,,,,,,,,
fe0309553,189,B,534.97,537.8,2.83,1,1,especially college football they be hit ,they,hit,they_be_hit,PronounPersonal,VerbPastParticiple,PronounPersonal_be_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,especially,college,football,they,be ,hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309553,191,B,538.32,539.98,1.66,1,1,they be hit ,they,hit,they_be_hit,PronounPersonal,VerbPastParticiple,PronounPersonal_be_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,be ,hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309595,85,A,200.25,202.42,2.17,1,1,yeah i do because they be running ,they,running,they_be_running,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,i,do,because,they,be ,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309687,80,B,294.15,299.99,5.84,1,1,so that's why sometimes you see the flash girls they be with like the worse ,they,with,they_be_with,PronounPersonal,Preposition,PronounPersonal_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,so,that's,why,sometimes,you,see,the,flash,girls,they,be ,with,like,the,worse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309778,142,A,448.71,452.14,3.43,1,1,yeah it be the comic ,it,comic,it_be_comic,PronounNonReferential,Noun,PronounNonReferential_be_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,it,be ,the,comic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0309957,146,A,416.05,417.89,1.84,1,1,and i be seeing it every day ,i,seeing,i_be_seeing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,i,be ,seeing,it,every,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310000,45,A,112.76,116.56,3.8,1,1,'cause i hav- i done heard a lotta of my friends be saying you know ,lot,saying,lot_be_saying,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'cause,i,hav-,i,done,heard,a,lotta,of,my,friends,be ,saying,you,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310000,51,A,138.85,147.6,8.75,1,1,yep aha it's about um a past the haigie er jack benedine they be showing that different movie stars mr key used to play in it ,they,showing,they_be_showing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yep,aha,it's,about,um,a,past,the,haigie,er,jack,benedine,they,be ,showing,that,different,movie,stars,mr,key,used,to,play,in,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310000,118,A,332.66,342.62,9.96,1,1,know for other people you know and they be calling me and then i send them all wherever yo- where you at telephone where they at i just you know send 'em all out you know ,they,calling,they_be_calling,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,know,for,other,people,you,know,and,they,be ,calling,me,and,then,i,send,them,all,wherever,yo-,where,you,at,telephone,where,they,at,i,just,you,know,send,'em,all,out,you,know,,,,,,,,,,,,,
fe0310001,117,A,294.98,297.88,2.9,1,1,i mostly be looking at gospel ,i,looking,i_be_looking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,mostly,be ,looking,at,gospel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310114,121,A,282.3,284.9,2.6,1,1,yeah 'cause they be sliding all over the place ,they,sliding,they_be_sliding,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,'cause,they,be ,sliding,all,over,the,place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310237,26,B,115.24,126.69,11.45,1,1,yeah because most of the time doing what they be doing  meeting all married people who got money and stuff and they like don't get along and and end up in divorce sometime they'll sometime they only stay 'gether long 'bout three months ,they,doing,they_be_doing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,because,most,of,the,time,doing,what,they,be ,doing,meeting,all,married,people,who,got,money,and,stuff,and,they,like,don't,get,along,and,and,end,up,in,divorce,sometime,they'll,sometime,they,only,stay,'gether,long,'bout,three,months,,,,,,,
fe0310266,1,B,11.54,14.52,2.98,1,1,you be working out ,you,working,you_be_working,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,be ,working,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310266,4,B,14.66,15.48,0.82,1,1,it be working out ,it,working,it_be_working,PronounNonReferential,VerbPresentParticiple,PronounNonReferential_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,be ,working,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0310266,7,B,18.59,20.12,1.53,1,1,you be working out ,you,working,you_be_working,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,be ,working,out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
